c5	remark
19980531012129A	ACFT ENGINE FAILED, PILOT MADE EMERG LANDING, THE ACFT SUSTAINED SUBSTANTIAL DAMAGE ON LANDING, NO INJURIES. (.19) ON MAY 31, 1998, ABOUT 1200 GREENWICH MEAN TIME, A PIPER PA32-260, N3995W, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING NEAR NICE, FRANCE.  THE CERTIFICATED PRIVATE PILOT AND FOUR PASSENGERS WERE NOT INJURED.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED AND AN INSTRUMENT FLIGHT RULES FLIGHT PLAN HAD BEEN FILED FOR THE FLIGHT WHICH DEPARTED VERONA, ITALY, DESTINED FOR BRON, FRANCE.  THE PERSONAL FLIGHT WAS CONDUCTED UNDER 14 CFR PART 91. IN A TELEPHONE INTERVIEW, THE PILOT SAID THE FLIGHT PROGRESSED UNEVENTFULLY FOR ABOUT 2 HOURS.  WHILE IN CRUISE FLIGHT AT ABOUT 12,000 FEET, THE ENGINE RPM DECREASED AND ENGINE BEGAN TO LOSE POWER.  THE PILOT INITIATED AN EMERGENCY CHECK LIST WHICH INCLUDED THE APPLICATION OF CARBURATOR HEAT, AND SWITCHING FUEL TANKS.  THE ENGINE CONTINUED TO LOSE POWER AND THE PILOT DECLARED AN EMERGENCY WITH AIR TRAFFIC CONTROL.  THE PILOT WAS UNABLE TO RESTORE ENGINE POWER, AND PERFORMED A FORCED LANDING TO A FIELD.  THE AIRPLANE'S LANDING GEAR COLLAPSED AND THE AIRPLANE'S LEFT WING SPAR WAS DAMAGED. THE P                                         ILOT REPORTED ABOUT 1,500 HOURS OF TOTAL FLIGHT EXPERIENCE, OF WHICH 200-250 HOURS WERE IN MAKE AND MODEL. THIS ACCIDENT IS UNDER THE JURISDICTION OF THE GOVERNMENT OF FRANCE. ANY FURTHER INFORMATION PERTAINING TO THIS ACCIDENT CAN BE OBTAINED FROM: BUREAU ENQUETES-ACCIDENTS, PARIS, FRANCE, THIS REPORT IS FOR INFORMATIONAL PURPOSES ONLY. ADDENDUM: ON MAY 31, 1998, ABOUT 1045 GREENWICH MEAN TIME, A PIPER PA-32-260, N3995W, WAS SUBSTANTIALLY DAMAGED DURING A FORCED LANDING FROM CRUISE FLIGHT NEAR PRIGNOLET, FRANCE.  THE CERTIFICATED PRIVATE PILOT/OWNER AND FOUR PASSENGERS WERE NOT INJURED. THE INVESTIGATION IS BEING CONDUCTED BY THE FRENCH GOVERNMENT.  THE INVESTIGATOR-IN-CHARGE IS BERNARD BOUDOU AT TELEPHONE NUMBER: 33-1-49-92-72-60. BUREAU ENQUETES-ACCIDENTS (BEA) BATIMENT 153 AEROPORT DU BOURGET 93352 LE BOURGET CEDEX FRANCE.
19980808023489I	PILOT STATED HE FORGOT TO PUT THE GEAR DOWN FOR LANDING.
19971218039139A	LEFT ENGINE LOST POWER ON INITIAL CLIMBOUT. ABORTED WHEN VMC OCCURED. LANDED ROUGH AREA OFF SIDE OF RUNWAY. (.4) THE PILOT OWNER WAS RECEIVING MULTI-ENGINE FLIGHT INSTRUCTION FROM A CERTIFIED FLIGHT INSTRUCTOR.  THE FLIGHT INSTRUCTOR REPORTED THAT JUST AFTER LIFTOFF, WITH THE LANDING GEAR STILL EXTENDED, THE LEFT ENGINE LOST POWER.  THE AIRPLANE VEERED TO THE LEFT.  THE FLIGHT INSTRUCTOR TOOK CONTROL OF THE AIRPLANE, REDUCED POWER, AND LANDED IN ROUGH TERRAIN, ABOUT 150 FEET TO THE LEFT THE RUNWAY.  EXAMINATION OF THE AIRPLANE REVEALED THAT NEITHER PROPELLER HAD BEEN FEATHERED, AND EXAMINATION OF THE ENGINES DID NOT REVEAL ANY EVIDENCE OF A MACHANICAL FAILURE OR MALFUNCTION.                                                                  (-23) AT AN ALTITUDE OF 50 FEET, AIRCRAFT LOST POWER IN LEFT ENGINE ON TAKEOFF. WHEN LOSS OF DIRECTIONAL CONTROL OCCURRED, INSTRUCTOR PILOT ABORTED TAKEOFF AND LANDED AIRCRAFT IN ROUGH TERRAIN, 150 FEET LEFT OF RUNWAY.
19990227001819A	ARFT BEGAN LOSING POWER ON THE BASE LEG INBOUND TO RWY 32 WHEN IT CRASHED INTO TREES WHILE TURNING ONTO FINAL 1/2 MILE SOUTHEAST OF THE ARPT, OTHER CIRCUMSTANCES ARE UNKNOWN. (.4) THE PILOT WAS ON A LOCAL FLIGHT TO DEMONSTRATE THE AIRPLANE TO SOMEONE INTERESTED IN PURCHASING THE SAME MAKE AND MODEL. WHILE ON FINAL APPROACH, THE AIRPLANE LOST POWER AND CAME TO REST SUSPENDED IN A TREE DURING THE SUBSEQUENT FORCED LANDING.  THE FIRE CHIEF RESPONDED TO THE SCENE.  HE SAID THE AIRPLANE WAS SUSPENDED IN A TREE.  HE SAID, 'THE NOSE WAS STRAIGHT DOWN IN THE TREES.  THE FUEL WAS DRIPPING FROM THE RIGHT WING, WHETHER IT WAS RUNNING FROM THE LEFT SIDE AND DRIPPING FROM THE RIGHT, I CAN'T TELL YOU.'  EXAMINATION OF THE AIRPLANE BY A FEDERAL AVIATION ADMINISTRATION (FAA) AIRWORTHINESS INSPECTOR REVEALED THE LEFT FUEL TANK WAS COMPROMISED DURING THE ACCIDENT SEQUENCE.  THE RIGHT FUEL TANK WAS INTACT AND CONTAINED NO FUEL.  THE AIRPLANE'S ENGINE STARTED AND RAN ON THE AIRFRAME UTILIZING THE AIRPLANE'S OWN FUEL SYSTEM.  THE PILOT SAID THAT A REVIEW OF HIS RECORDS REVEALED THE AIRPLANE HAD FLOWN APPROXIMATELY 2-2.5 HOURS SINCE THE LAST FUEL SERVICE.  THE PILOT ESTIMATED HIS FUEL BURN RATE AVERAGE D 10 GALLONS PER HOUR. THE AIRPLANE HAD A FUEL CAPACITY OF 26 GALLONS PER WING TANK FOR A TOTAL OF 52 GALLONS.                                       (-23) AS AIRCRAFT TURNED DOWNWIND LEG FOR SANFORD AIRPORT, PILOT SWITCHED ON FUEL PUMP, APPLIED CARBURETOR HEAT, WENT TO FULL RICH MIXTURE AND THROTTLED BACK TO 1500 RPM.  ON FINAL APPROACH, APPROXIMATELY HALF MILE FROM RUNWAY, THE RPM BEGAN FALLING UNTIL ENGINE QUIT RUNNING.  PILOT SWITCHED FUEL TANKS WITHOUT SUCCESS AND LANDED IN THE TREES SHORT OF THE RUNWAY.
19980816037929A	(-23) ON AUGUST 16, 1998, ABOUT 1510 EST A MOONEY 20-F, N6411Q MADE A FORCED LANDING IN A SOY BEAN FIELD AND CAME TO REST ON AN EMBANKMENT EXTENDING ITS FUSELAGE ONTO A COUNTY ROAD THE PILOT EXPERIENCED A TOTAL LOSS OF ENGINEPOWER ENROUTE TO MONROE COUNTY AIPORT IN NORTH CAROLINA.
19960203003259I	NARRATIVE: USA JET FLIGHT JUS194 DEPARTED MCI ON 02/03/96. THE CREW EXPERIENCED AN AIRCRAFT PRESSURIZATION PROBLEM AND RETURNED TO MCI. ON CALL MAINTENANCE FOUND A GROUND SHIFT RELAY PROBLEM. MAINTENANCE CLEANED AND LUBRICATED THE RELAY AND RETURNED THE AIRCRAFT TO SERVICE. THIS INCIDENT IS CONSIDERED CLOSED WITH THIS REPORT.
19980716024829A	(-23) AIRCRAFT CRASH LANDED DUE TO LIMITED POWER CAUSED BY THROTTLE LINKAGE TRAVEL RESTRICTION. (.19)  ON JULY 16, 1998, APPROXIMATELY 2035 PACIFIC DAYLIGHT TIME, A CANADIAN-REGISTERED BEDE BD-5B HOMEBUILT AIRPLANE, C-GWSS, MADE A CRASH LANDING IN A FARMER'S FIELD NEAR SUMAS, WASHINGTON.  THE AIRPLANE WAS SUBSTANTIALLY DAMAGED AND THE PILOT, A RESIDENT OF SURREY, BRITISH COLUMBIA WHO WAS THE AIRCRAFT'S SOLE OCCUPANT, RECEIVED MINOR INJURIES.  THE ACCIDENT SITE WAS APPROXIMATELY 1 MILE SOUTHWEST OF ABBOTSFORD, BRITISH COLUMBIA, WHICH WAS THE FLIGHT'S DESTINATION, AND WAS APPROXIMATELY 50 YARDS SOUTH OF THE U.S.-CANADIAN BORDER.  VISUAL METEOROLOGICAL CONDITIONS EXISTED AT THE TIME, AND A VISUAL FLIGHT RULES (VFR) FLIGHT PLAN HAD BEEN FILED FOR THE 14 CFR 91 PERSONAL FLIGHT, WHICH ORIGINATED AT ARLINGTON, WASHINGTON. THE PILOT'S INITIAL REPORTS TO AUTHORITIES INDICATED THAT WHILE APPROACHING THE ABBOTSFORD AIRPORT, HE EXPERIENCED A PARTIAL LOSS OF ENGINE POWER AND WAS UNABLE TO MAINTAIN ALTITUDE.  HE SUBSEQUENTLY PERFORMED A FORCED LANDING IN A FARMER'S FIELD.  THE AIRPLANE WAS SUBSTANTIALLY DAMAGED IN THE FORCED LANDING.
19990428015109I	PILOT EXPERIENCED A LOSS OF ENGINE POWER DURING TAKEOFF. AIRCRAFT MADE POWER-OFF LANDING WITH NO INJURY.
19990330018529I	(-5) ON 3/30/99 A BA-JETSTM-3201, N490UE, OPERATED BY ATLANTIC COAST AVIATION, DEPARTED ROCHESTER AIRPORT (ROC) ENROUTE TO WASHINGTON-DULLES INT'L. (IAD). FIFTEEN MINUTES AFTER TAKEOFF A CABIN DOOR WARNING LIGHT CAME ON AND THE AIRCRAFT RETURNED TO ROC. THE PASSENGERS GOT OFF AND WAITED IN THE TERMINAL. THE FLIGHT CREW CONTACTED FLIGHT DISPATCH IAD AND SPOKE TO MAINTENANCE. THE CABIN DOOR WAS CYCLED OPEN AND CLOSED AND THE LIGHT REMAINED OUT. THE CABIN DOOR WAS WRITTEN UP AND DEFERRED IN ACCORDANCE WITH THEIR MEL. PASSENGERS WERE THEN BOARDED BACK ON THE AIRCRAFT AND THE FLIGHT CONTINUED TO IAD. AT IAD MAINTENANCE PERSONNEL INSPECTED AND OPERATIONS CHECKED GOOD. MAINTENANCE CLEARED THE DEFERRED ITEM AND RETURNED THE AIRCRAFT TO SERVICE. THIS INCIDENT IS CONSIDERED CLOSED.
19990713025889I	FLIGHT CREW REPORTED THAT THE LEFT HAND HYD. QTY. DROPPED TO .11. AWXA MAINTENANCE FOUND THE LFT. ENGINE DRIVEN PUMP CASE DRAIN QUICK DISCONNECT BACKED OFF AT THE PUMP. FLIGHT CREW REPORTED THAT DURING GEAR EXTENSION GEAR GREEN DOWN LIGHT FAILED TO ILLUMINATE WITH GEAR HANDLE DOWN. EICAS MESSAGE: GEAR DISAGREE AND GEAR DOOR DISPLAY, DOOR & GEAR AMBER LIGHTS ILLUMINATED. ALTERNATE GEAR EXTENSION ATTEMPTED WITH NO HELP. DURING FLY BY THE RIGHT MAIN LANDING GEAR WAS NOTED NOT TO HAVE EXTENDED. CREW EXTENDED RT. MLG. BY USING THE MANAUL PTU SWITCH LOCATED ON PANEL P61. AWXA MX. IN PHX. REMOVED & REPLACED THE RT. MLG DOOR ACTUATOR AS THIS WAS SUBJECT TO A BOEING SIL 757-SL-32-33, OTHER AIRLINES HAD REPORTED ACTUATOR FAILURES AFTER 15,000 FLT. HOURS. P/N S273N201-5, AWXA M&E P/N 3230-9-0009. LDG. GEAR SYS. WAS REPORTED TO HAVE OP'S CHK'D NORMAL.
