c5	remark
20150101000039A	DURING TAXI TO A DESIGNATED AREA TO PARK, HIT POLE ON LEADING EDGE, ABOUT MIDDLE OF LEFT WING.
20150101000239A	ON JANUARY 1, 2015 ^PRIVACY DATA OMITTED^ OPERATED N2841N (CESSNA 140 SERIAL #13102) ATTEMPTING TO TAKEOFF FROM A PRIVATE DIRT RUNWAY LOCATED SOUTH OF YUMA, ARIZONA.  THE RUNWAY IS A DIRT FARM ROAD THAT IS APPROXIMATELY THREE FEET HIGHER THAN THE ADJACENT CROP FIELDS AND TRACKS EAST-WEST.  THE PILOT APPLIED TAKEOFF POWER, LOST CONTROL OF THE AIRCRAFT AND FAILED TO KEEP THE AIRCRAFT ON THE RUNWAY.  THE AIRCRAFT VEERED TO THE RIGHT (SOUTH) OFF OF THE DIRT RUNWAY INTO A CROP FIELD; THE AIRCRAFT CROSSED MULTIPLE CROP ROWS EVENTUALLY IMPACTING AN IRRIGATION PIPE WITH THE LEFT MAIN TIRE WHICH RESULTED IN THE AIRCRAFT FLIPPING OVER.   ?	THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE TO ITS FLIGHT CONTROL SURFACES, FUSELAGE, ENGINE, AND PROPELLER.   ?	THE CURRENT FAA AIRCRAFT REGISTRATION DOCUMENT (AC FORM 8050-3) WAS NOT ON BOARD THE AIRCRAFT AT THE TIME OF THE INVESTIGATION.  THE REGISTRATION ON BOARD THE AIRCRAFT WAS ISSUED JANUARY 26, 2001.   ?	THE AIRWORTHINESS CERTIFICATE WAS ONBOARD THE AIRCRAFT, THE CERTIFICATE CONTAINED AN ISSUE DATE OF JANUARY 4, 1957. ?	MAINTENANCE RECORDS INDICATE THAT THE AIRCRAFT RECEIVED AN ANNUAL INSPECTION ON OCTOBER 5TH, 2014 WITH A TACHOMETER TIME OF 1680.37.  ON JANUARY 6, 2015 THE TACHOMETER TIME READ 1682.64.  THE MAINTENANCE RECORDS DID NOT INDICATE ANY ANOMALIES THAT WOULD SUPPORT FURTHER INVESTIGATION OF THE WORK PERFORMED IN OCTOBER 2014.
20150102000479A	ON JANUARY 2ND 2015 ABOUT 1730 LOCAL TIME, AN EXPERIMENTAL AMATEUR BUILT, WEIGHT SHIFT CONTROL TRIKE WAS SUBSTANTIALLY DAMAGED DURING ITS FLARE MANEUVER AT MID FLORIDA AIRPARK IN EUSTIS, FL. THE AIRCRAFT A BABCOCK DAYTON A, STORM, WITH A REGISTRATION NUMBER N516VB. THE PILOT STATED HE ENCOUNTERED A PROP WASH, FORCING A RIGHT WING BANK AND STRIKING THE GROUND.  THE NOSE GEAR THEN COLLAPSED CAUSING THE TRIKE TO ROLL, SIMILAR TO A GROUND LOOP. THE PILOT HOLDS A SPORT PILOT CERTIFICATE AND A CURRENT MEDICAL, DATED 08/13/2014. THE AIRCRAFT INSPECTION IDENTIFIED TWO PROPELLER BLADES AND RIGHT HAND WHEEL COVER CRACKED. THE MAIN FRAME IS TWISTED AND BUCKLED IN THREE PLACES. THE NOSE GEAR ASSEMBLY DETACHED AND FOLDED UNDERNEATH AND THE WING TUBING (SPAR) WAS ALSO BROKEN AND BENT. BOTH OF WHICH ARE STRUCTURAL. OTHER DAMAGE WAS CONSIDERED MINOR. THE AIRCRAFT HAS FLOWN 24.9 HOURS SINCE NEW AND STILL REMAINS IN PHASE I FLIGHT TESTING AND CURRENTLY HAS NOT BEEN COMPLETED UNDER THE PRESCRIBED LIMITATIONS ISSUED AND REMAIN IN EFFECT UNTIL FURTHER NOTICE.
20150102000709A	N81291 WAS ON AN IFR FLIGHT PLAN FROM TALLASSEE, FL EN-ROUTE TO MT. VERNON, IL.  MEMPHIS CENTER RECEIVED A DISTRESS CALL FROM N81291 ADVISING OF ENGINE TROUBLE AND THEN THEY LOST THE AIRCRAFT OFF RADAR APPROXIMATELY 7 MILES EAST OF KY DAM VILLAGE AIRPORT AT 1800 FEET.  MEMPHIS CENTER ADVISED LAST CONTACT WITH AIRCRAFT WAS AT 17:55 CST. AT 18:35CST A 911 CALL WAS RECEIVED BY LYON COUNTY DISPATCH THAT A 7 YEAR OLD GIRL HAD COME TO HIS HOUSE STATING HER PARENTS WERE IN A PLANE CRASH.   AIRCRAFT WAS LOCATED. FOUR FATALITIES. POST CRASH SMALL FIRE.
20150102001609A	ON JANUARY 02, 2015 AT APPROXIMATELY 21:18Z, A ROBINSON HELICOPTER R-44II (N3183T) WAS SUBSTANTIALLY DESTROYED AFTER THE PILOT TRY TO LAND ON A PRIVATE FIELD IN BARRANQUITAS, PR. THE PIC INFORMED THAT WHEN HE WAS READY TO LAND, HE TOUCH DOWN THE AIRCRAFT LIGHT ON SKIDS THEN HE MOVED THE CYCLIC FORWARD, THEN THE HELICOPTER PITCH FORWARDS. THEN THE PILOT MOVED THE CYCLIC BACKWARDS TO THE PREVIOUS ANGLE AND THE HELICOPTER PITCHED BACKWARDS AND THEN SUDDENLY  THE PILOT HEARD A BIG NOISE ON THE BACK OF THE HELICOPTER WITH A VIBRATION ON THE COCKPIT.  HE IMMEDIATELY THE PILOT PULL THE COLLECTIVE AND ROLLED THE THROTTLE TO MAXIMUM BUT THE HELICOPTER START TO SPIN CLOCKWISE OUT OF THE LANDING SPOT WHICH HE COULDN?T STOP APPLYING FULL LEFT PEDAL. HE LEVELED THE HELICOPTER STILL SPINNING AND TRIES TO MAKE IT BACK TO THE LANDING SPOT BUT THERE WAS NOT ENOUGH POWER TO KEEP THE HELICOPTER IN THE AIR AND THE LEFT SKID HIT THE GROUND AND THE HELICOPTER ROLLED TO THE LEFT. THE PILOT CUT OFF THE MIXTURE OF THE ENGINE AND ALL SWITCHES. NONE OF THE PASSENGER SUFFERED A BIG INJURE.
20150102002209I	THE WEATHER WAS CLEAR AND IT WAS A ?BEAUTIFUL DAY TO FLY?.  PIC STATED SHE HAD MADE 4 OR 5 PASSES TO A FROZEN SANDBAR ON BELUGA LAKE ALASKA AND WAS MAKING INCREASINGLY DEEPER MARKS IN THE SNOW WITH THE LANDING GEAR (WHEELS) BY REDUCING POWER DURING EACH ATTEMPT AS SHE WAS TRYING TO DETERMINE SNOW DEPTH.  ON THE 6TH ATTEMPT SHE REDUCED POWER TO IDLE.  THE SNOW WAS DEEPER THAN SHE EXPECTED, SHE ESTIMATED ABOUT 1 FOOT DEEP.    IN A ?SLOW MOTION? THE NOSE BEGAN TO ?EASE OVER? AND THERE WASN?T ANYTHING SHE COULD DO TO STOP IT.  SHE PULLED THE MIXTURE FULL LEAN IN AN ATTEMPT TO KILL THE ENGINE BEFORE THE PROPELLER STRUCK THE GROUND.  PIC ALSO STATED SHE THOUGHT THE SNOW IN FRONT OF THE AIRCRAFT HELPED TO ?CUSHION? THE PROPELLER AND THAT?S WHY THERE WASN?T TOO MUCH DAMAGE.    PIC STATED THE ONLY DAMAGE SHE NOTICED WAS 1 PROPELLER TIP BENT.  PIC STATED SHE THOUGHT THERE HAD BEEN MORE DAMAGE DONE TO THE COWLING DURING THE RECOVERY AND REPAIR PROCESS.
20150103000029I	N20DP A PIPER PA-46 OPERATED BY THE ^PRIVACY DATA OMITTED^ WAS ON AN IFR FLIGHT PLAN FROM GUNNISON REGIONAL AIRPORT (KGUC) TO JACK BROOKS REGIONAL AIRPORT (KBPT). DURING THE ILS APPROACH TO RUNWAY 12, AN UNSAFE GEAR CONDITION WAS DISPLAYED. THE PILOT CONTACTED THE CONTROL TOWER, DECLARED AN EMERGENCY AND EXECUTED A MISSED APPROACH AND WAS VECTORED BY ATC FOR A SECOND APPROACH ALLOWING FOR TIME TO TROUBLE SHOOT THE GEAR PROBLEM. DURING THE SECOND APPROACH, THE CONTROL TOWER PERSONNEL OBSERVED THE GEAR IN THE UP POSITION. THE PILOT EXECUTED A SECOND GO AROUND AND WAS VECTORED FOR THE THIRD AND FINAL APPROACH. THE PILOT EXECUTED AN ILS APPROACH TO RUNWAY 12 AND MADE A PLANNED GEAR-UP LANDING.
20150103000109A	ON 3 JAN 1015, N2534X, CE-206, DEPARTED NAPLES, FLORIDA, A PART 91 VFR FLIGHT, TO KEY WEST, FLORIDA. ON APPROACH TO AIRPORT, THE AIRCRAFT ENGINE SHUTDOWN AND PILOT ATTEMPTED TO RESTART ENGINE HOWEVER WAS UNEVENTFUL. AIRCRAFT LANDED APPROXIMATELY A HALF MILE SHORT OF KEY WEST AIRPORT IN A SALT POND IN APPROXIMATELY 3-4 FEET OF WATER. CLEAR SKYS WITH WINDS SE 12 KNOTS. ALL PASSENGERS EVACUATED AIRPLANE SUCCESSFULLY.
20150103000299A	AIRCRAFT REPORTED IT WAS EXPERIENCING ENGINE TROUBLE ON DECENT. WHILE LOOKING FOR A PLACE TO LAND THE AIRCRAFT STRUCK POWER LINES AND CAME TO REST ON THE BANK OF A PONDING BASIN, DURING TOUCH DOWN THE NOSE GEAR SEPARATED FROM THE AIRCRAFT AND THE AIRCRAFT CAME TO REST ON ITS RIGHT WING TIP.
20150103005989A	LANDING RUNWAY 29, PILOT STATED HE HAD A LEFT QUARTERING TAIL WIND.  MADE A NORMAL WHEEL LANDING.  LANDED NORMALLY AND AT THE END OF ROLL OUT, SPEED APPROX 30-40 MPH AIRCRAFT BRAKES WERE APPLIED ACCIDENTLY BY THE FRONT PASSENGER.  AIRCRAFT NOSED OVER, STRUCK THE PROP AND CONTINUED TO FLIP OVER SLOWLY.  AIRCRAFT CAME TO REST FULLY INVERTED. BOTH OCCUPANTS EVACUATED THE AIRCRAFT WITHOUT INJURY.   AIRCRAFT WAS SUBSTANTIALLY DAMAGED,  ADDITIONAL DAMAGE WAS SUSTAINED DURING RECOVERY.
