c5	remark
20100101025579A	AIRCRAFT HAD A NORMAL TAKE-OFF ROLL DEVELOPING FULL POWER.  ON CLIMB-OUT, THE AIRCRAFT EXPERIENCED A REDUCTION IN POWER.  THE PILOT MADE A RIGHT TURN TO AVOID TREES, AND BECAUSE OF CONTINUED REDUCED POWER DECIDED TO LAND IN A CORN FIELD.  THE AIRCRAFT TOUCHED DOWN AND THE LH LANDING GEAR AND NOSE GEAR BROKE OFF THE AIRCRAFT.  BOTH WING TIPS STRUCK THE GROUND DURING THE LANDING.
20100101025609A	PILOT STATED THAT HE COULD NOT FIND CRYSTAL CITY MUNICIPAL AIRPORT BECAUSE THERE WERE NO LIGHTS OR BEACON. PILOT HEADED TO PEARSALL AIRPORT. PILOT RAN AIRCRAFT OUT OF FUEL. LANDED ON FARM ROAD WHERE THE LANDING GEAR SEPARATED FROM AIRCRAFT.
20100101025799A	WEATHER WAS OVERCAST FOR THE FIRST PART OF THE FLIGHT.  WHEN THE SUN CAME OUT DURING A SWATH RUN, THE PILOT PROPPED UP THE COLLECTIVE WITH HIS KNEE AND REACHED UP TO LOWER HIS HELMET VISOR.  AT THE SAME TIME, THE HELICOPTER FLEW THROUGH SOME TURBULENCE AND PITCHED FORWARD.  THERE WAS NOT ENOUGH TIME TO RECOVER BEFORE THE SKIDS IMPACTED THE GROUND.
20100101025829I	CREW WAS UNAWARE THAT THE GROUND CREW HAD BEGUN DEICING OPERATIONS AND INADVERTENTLY HIT THE BASKET OF THE DEICE TRUCK WITH THE LEFT HORIZONTAL STABILIZER.  THERE WERE NO GROUND CREWMEMBERS IMMEDIATELY VISIBLE FROM THE COCKPIT.
20100101030559I	FROM PILOT'S STATEMENT;LANDED AT ROLLING FORK MS. SHUT DOWN ENGINES. WAITED 20 MINUTES FOR PASSENGER. PASSENGER DID NOT SHOW. RESTARTED ENGINES TO REPOSITION AIRCRAFT TO TIE DOWN AREA. BACK TAXIED ON RUNWAY AND HIT A SMALL POT HOLE IN THE CENTER OF THE RUNWAY CAUSING THE NOSE LANDING GEAR TO COLLAPSE.
20100102025619I	DURING LANDING, THE SKYDIVER FAILED TO FLAIR IN TIME MAKING HARD CONTACT WITH TERRAIN BREAKING LEFT LEG.
20100102025909A	ON JANUARY 2, 2010 AT 1524 EASTERN STANDARD TIME, LOCAIR FLIGHT 151, A FAIRCHILD AIRCRAFT N227ML, SUSTAINED SUBSTANTIAL DAMAGE AFTER LANDING AT THE SOMERSET, KY. LAKE CUMBERLAND REGIONAL AIRPORT. (KSME). UPON LANDING ON RUNWAY 23, THE AIRCRAFT DEPARTED THE RUNWAY TO THE RIGHT, CROSSED OVER A GRASS AREA PARALLEL TO THE RUNWAY AND ADJACENT TAXI WAY, IMPACTED A TAXI WAY AIRPORT SIGN, AND CAME TO REST AT THE BOTTOM OF A LARGE DRAINAGE DITCH, CONTACTING THE AIRPORT PERIMETER FENCE. NEITHER THE PILOT IN COMMAND, FIRST OFFICER, OR THE ONE PASSENGER ON BOARD WERE INJURED. THERE WAS NO POST EVENT FIRE. DAY VISUAL METEOROLOGICAL CONDITIONS PREVAILED FOR THE FLIGHT, WHICH ORIGINATED FROM BALTIMORE MD (KBWI) TO SOMERSET LAKE CUMBERLAND REGIONAL AIRPORT (KSME). AN INSTRUMENT FLIGHT RULES (IFR) FLIGHT PLAN WAS FILED FOR THE FLIGHT. THE FLIGHT WAS BEING CONDUCTED UNDER 14 CFR PART 135 BY LOCAIR, INC. (YLXA). LOCAIR, INC. IS A 14 CFR PART 135 CERTIFICATED AIR CARRIER OPERATING FOUR SA-227 AIRCRAFT BASED IN FT. LAUDERDALE, FLA.  THE ACCIDENT OCCURRED DURING THE HOURS OF DAYLIGHT, IN THE VICINITY OF 37 DEGREES, 03.20 MINUTES NORTH LATITUDE, 84 DEGREES, 36.095 MINUTES WEST LONGITUDE AT AIRPORT ELEVATION OF 927 FEET.
20100102026249I	ON JAN 2, 2010 JON MOWATT PNF (PILOT NOT FLYING) WAS GIVING FLIGHT INSTRUCTION TO BRENT NELSON PF (PILOT FLYING) IN N44730 SENECA II AIRCRAFT. THEY WERE PERFORMING TOUCH-AND-GO'S AT TORRANCE AIRPORT (KTOA). THEY HAD MADE 2 NORMAL LANDINGS PREVIOUSLY AND WERE PLANNING ON A FULL STOP ON THIS 4TH LANDING.  ON THE DOWNWIND LEG THEY PUT THE GEAR HANDLE DOWN AND GOT 3 GREEN LIGHTS INDICATING ALL LANDING GEAR DOWN AND LOCKED. THEY MADE A NORMAL LANDING ON THE LAST 1/3 OF THE THRESHOLD WITH 30 DEGREES FLAPS.  THE MAIN WHEELS SAT DOWN FIRST AND THEN THE NOSE JUST KEPT COMING DOWN. THE PILOT MAINTAINED CONTROL OF THE AIRCRAFT AS THE PLANE SKIDDED ON ITS NOSE UNTIL IT CAME TO A COMPLETE STOP.
20100102026319I	AIRMAN STATED THAT UPON LANDING HIS HOME-BUILT AIRCRAFT, IT STARTED TO VEER TO THE RIGHT AND HE CORRECTED WITH LEFT RUDDER. HE SAID THAT THE AIRCRAFT THEN QUICKLY WENT TO THE LEFT. HE STATED THAT HE THEN QUICKLY CORRECTED WITH RIGHT RUDDER PRESSURE. THE AIRCRAFT THEN QUICKLY WENT TO THE RIGHT. THE YAWING CONTINUED FOR AT LEAST TWO MORE TIMES, FINALLY SKIDDING TO THE LEFT STRIKING THE PROPELLOR.  THE PILOT WAS ABLE TO RESTART THE AIRCRAFT, TAXIED OFF THE RUNWAY AND TO HIS HANGAR.
20100103006039I	PIC STATED THAT THE ITT SURGED THREE TIMES, 1160, 1175, 1200 RESPECTIVELY. ENGINE WAS SHUT DOWN, EMERGENCY DECLARED. LANDED WITHOUT INCIDENT. ENGINE FUEL PUMP, FUEL CONTROL, AND COMPRESSOR BLEED VALVE REPLACED.
