 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
ACN,Date,Local Time Of Day,Locale Reference,State Reference,Relative Position.Angle.Radial,Relative Position.Distance.Nautical Miles,Altitude.AGL.Single Value,Altitude.MSL.Single Value,Latitude / Longitude (UAS),Flight Conditions,Weather Elements / Visibility,Work Environment Factor,Light,Ceiling,RVR.Single Value,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Aircraft Component,Manufacturer,Aircraft Reference,Problem,ATC / Advisory,Aircraft Operator,Make Model Name,Aircraft Zone,Crew Size,Operating Under FAR Part,Flight Plan,Mission,Nav In Use,Flight Phase,Route In Use,Airspace,Maintenance Status.Maintenance Deferred,Maintenance Status.Records Complete,Maintenance Status.Released For Service,Maintenance Status.Required / Correct Doc On Board,Maintenance Status.Maintenance Type,Maintenance Status.Maintenance Items Involved,Cabin Lighting,Number Of Seats.Number,Passengers On Board.Number,Crew Size Flight Attendant.Number Of Crew,Airspace Authorization Provider (UAS),Operating Under Waivers / Exemptions / Authorizations (UAS),Waivers / Exemptions / Authorizations (UAS),Airworthiness Certification (UAS),Weight Category (UAS),Configuration (UAS),Flight Operated As (UAS),Flight Operated with Visual Observer (UAS),Control Mode (UAS),Flying In / Near / Over (UAS),Passenger Capable (UAS),Type (UAS),Number of UAS Being Controlled (UAS),Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Location Of Person,Location In Aircraft,Reporter Organization,Function,Qualification,Experience,Cabin Activity,Human Factors,Communication Breakdown,UAS Communication Breakdown,ASRS Report Number.Accession Number,Anomaly,Miss Distance,Were Passengers Involved In Event,Detector,When Detected,Result,Contributing Factors / Situations,Primary Problem,Narrative,Callback,Narrative,Callback,Synopsis,

866977,201001,1201-1800,ZZZ.ARTCC,US,,,,34000,,VMC,,,Daylight,,,Center ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Descent,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hydraulic Main System,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 192; Flight Crew Total 16500; Flight Crew Type 4900,,Workload; Troubleshooting; Distraction; Situational Awareness; Time Pressure,,,866977,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,,Flight Crew Last 90 Days 225; Flight Crew Total 12000; Flight Crew Type 450,,Troubleshooting; Workload; Time Pressure; Situational Awareness; Distraction,,,866981,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; General Declared Emergency; General Maintenance Action,Aircraft,Aircraft,"Descending to FL340 we got a Green Hydraulic Low Level Reservoir Level ECAM. Captain accomplished ECAM actions. I was flying the airplane. Flight Manual was also used; including performance landing distance computation. An emergency was declared with Center. Request for the long Runway was issued to Approach Control. Captain coordinated with Company and Flight Attendants for our arrival. Manual gear extension was accomplished at 170 KIAS. Slight buffet and higher wind noise was experienced from open gear doors throughout landing phase. Green Hydraulic fluid level did recover slightly after gear down. Normal approach/landing. We stopped the aircraft abeam intersection 'K.' APU was started and engines were shutdown. We remained on the runway awaiting tow in to gate Approximate landing weight was 125;000 LBS. Maintenance truck that met us on runway with the super tug observed hydraulic fluid leaking from the left engine.",,"Descending we got an ECAM HYD G RSVR LO LVL. The First Officer flew the aircraft and declared an emergency with ATC while I performed the ECAM items. I turned off the PTU and Eng 1 Hydraulic pump per the ECAM and went into the irregular section to check for any other items.",,"An A320 crew reported a HYD G RSVR LO LVL ECAM during descent. An emergency was declared followed by a normal descent; approach; and tow to the gate. Hydraulic fluid was seen dripping from the left engine.",
866984,201001,1201-1800,ZZZZ.ARTCC,FO,,,,15000,,VMC,,,Daylight,,,Center ZZZZ,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Flying,Flight Crew Commercial,,,Distraction; Human-Machine Interface; Troubleshooting,,,866984,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Other / Unknown,,N,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed As Precaution,Aircraft,Aircraft,"On climbout at approximately 15;000 FT noticed a moderate vibration of the control column.  Vibration seemed like it could be some sort of flutter or buffet. Pitch changes seemed to increase the vibration and anti-ice operation did little to mitigate the problem. Maintenance gave us our discretion to proceed to our destination. Neither the Captain or myself felt comfortable continuing for another hour with the existing problem so we elected to divert to a nearby airport based on its closeness; and availability of international facilities. An uneventful landing was made and another aircraft was ferried in to complete the flight to our original destination.",,,,"An E145 diverted to the nearest suitable airport when the aircraft developed an unexplained vibrations and flight control buffet.",
867027,201001,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,Tower ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 125; Flight Crew Total 24000; Flight Crew Type 6400,,Human-Machine Interface,,,867027,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Loss Of Aircraft Control,,N,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Returned To Gate; General Maintenance Action,Aircraft; Environment - Non Weather Related; Human Factors,Aircraft,"When the power levers were brought up only the left engine spooled up. The runway condition was less than good.  The aircraft began a right swerve. The power levers were brought all the way back and hard breaking applied.  Only when left reverse was applied was the aircraft stopped. Total swerve was close to 90 degrees. The aircraft remained on the runway and we taxied off the runway and returned to the gate. The flight was canceled.  Maintenance and Dispatch were notified for maintenance action.",,,,"An A320 flight crew temporarily lost control on a slippery runway when the right engine failed to spool up at the start of the takeoff roll.",
867029,201001,1201-1800,ZZZ.ARTCC,US,,,,15000,,,,,Daylight,,,Center ZZZ,Air Carrier,EMB ERJ 145 ER/LR,,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Elevator,,X,Design; Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Not Flying,Flight Crew Air Transport Pilot (ATP),,,Confusion; Troubleshooting,,,867029,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Diverted; Flight Crew Landed As Precaution; General Declared Emergency; General Maintenance Action,Aircraft; Weather; Procedure,Ambiguous,"It was snowing in CYUL when we were scheduled to depart back to ZZZ1; so we informed the deicing company that we would need Type 1 & 4 deicing fluid. This was accomplished and we departed. We followed the Canadian VNAP B procedure; which is basically a climb at a slower than usual speed; with some configuration differences to higher altitudes than we are used to. This was our first time flying in and out of Canada as well as our first experience with this type of of departure procedure for noise abatement. My First Officer was flying and; as we recall; it was probably around 15;000 feet that he first commented that there was some vibration in the control column. I put my hands on the controls and sensed the same level of vibration; certainly more than normal; almost like getting a hand massage. As we continued our climb he adjusted pitch; power and airspeed to see if the condition would improve or become more aggravated. He felt that the aircraft was under his positive control; responding correctly to his inputs; there was just a strange vibration. We remembered there was a tech note in our SOP that talked about such a vibration; dated back to 1998. Upon level off at 30;000 feet; we reviewed the contents of that tech note to see if there was anything we could do; per EMB's recommendations; to figure out what was causing the vibration. We called our Flight Attendant and asked her if she felt any unusual vibrations in the cabin and reported back that she did not. The tech note talks about vibration stemming from the elevator horn and on page 5 of the tech note there are 2 different ways given to diagnose if this is what you are experiencing. The first was a slight pitch up or down; which is supposed to stop the vibration. In our case; it made the vibration worse. The second was to activate the anti-icing system; which is also supposed to stop the vibration at the horn. This action had no effect; neither aggravating or dissipating the vibration. It seemed to us that the source of the vibration was not in the horn; but we wanted to discuss this with maintenance. We called them up and spoke to them about what we were experiencing; the tech note; and the actions we had taken. They were unfamiliar with the tech note so we gave them a few minutes to locate a copy. No one had knowledge of; or could find this tech note that we have in our SOP. I explained that it could be deice fluid; since that was the only difference between our uneventful flight to CYUL; of which I was the pilot flying and had not noticed anything abnormal. They agreed that this could be it; but we could not be certain absent an inspection of the horizontal stabilizer. At this point we could not determine the source of the vibration definitively and neither myself or my First Officer felt that we should continue with an undiagnosed flight control abnormality. We noticed that the vibration also worsened as our speed increased; so; to my recollection; we stayed below 260 KIAS. We decided that we needed to put the airplane down soon; as a precaution against the condition worsening. ZZZ1 was still 1 hour away and landing north; so with the concurrence of Dispatch; we diverted to ZZZ. We asked Dispatch to send us diversion information over ACARS (which was deferred for inaccurate out times; but still sent and received information). We declared an emergency; squawked 7700 and began a cautious approach into ZZZ. We requested for CFR to be standing by; which they were; conducted a visual approach and taxied to the gate with no further complications. This discrepancy was written up with as much detail as possible to try and aid Maintenance in troubleshooting the problem. We also landed somewhere around 200 LBS overweight; but landed under 300 FPM; per the QRH.  Elevator flutter possibly caused by contamination of type 4 deicing fluid inside the elevator? This was the first time I have deiced in Canada; so I'm not sure if they are aware of the procedure of not spraying ourhorizontal stabilizer from the rear forward?  Really all I can do is speculate as to the cause. A flight control abnormality is difficult to describe and even more difficult to diagnose. We both felt that the vibration warranted serious and immediate action to ensure a successful outcome. EMB Service Newsletter SNL 145-49-0007 dated Feb 18; 2008; speaks to deice fluid complications in the horizontal stabilizer and recommended inspection cycles to ensure this does not accumulate and dehydrate. If it is determined that there is deice fluid present in the elevator; causing it to be unbalanced and create the control flutter; I would recommend that these scheduled inspections take place to mitigate the risk of a possible re-occurrence in the future. Upon examination by mechanics in ZZZ; they found deice fluid inside the horizontal stabilizer/elevator as well as some bolts that needed to be tightened.  I believe the fluid to be a reasonable explanation for unbalancing the elevator; resulting in the flutter and vibration we experienced in the control column.",,,,"EMB145 crew experienced elevator vibration during climbout and cruise after being deiced. Believing that deice fluid may have gotten into the elevator; the crew elected to divert for maintenance inspection.",
867035,201001,0601-1200,ZZZ.ARTCC,US,,,,,,IMC,,,Daylight,,,TRACON ZZZ,Air Carrier,Regional Jet 200 ER/LR (CRJ200),,2,Part 121,IFR,Passenger,,Initial Approach,,Class B ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Trailing Edge Flap,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Commercial,Flight Crew Last 90 Days 14; Flight Crew Total 1500; Flight Crew Type 1000,,Workload; Training / Qualification; Distraction; Time Pressure; Troubleshooting,,,867035,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Flight Crew FLC complied w / Automation / Advisory; Flight Crew Landed in Emergency Condition; General Declared Emergency,Aircraft; Weather,Aircraft,"On approach; Captain (pilot flying) called for Flaps 8; and I positioned flap lever to 8 position. An amber EICAS message 'FLAPS FAIL' annunciated with a Master Caution with the flaps failed at the 0 degree position.  Executed a minimal Go Around maneuver to break off from the approach; and while being box-vectored; followed POM Emergency Checklist for 'FLAPS FAIL.' We contacted Dispatch and Maintenance and informed ATC of failure. Upon conclusion of the emergency checklist; the Captain and I both concurred that there was high possibility of structural failure due to the 170 KTS approach speed being very close to the Max Tire Speed of 182 KTS and the purely abnormal approach with a high kinetic energy touchdown. This condition required an emergency to be declared. We landed as per our simulator training and the event concluded without incident. I believe this was a structural failure due to cold weather and repeated cycles.",,,,"A CRJ200's flaps failed at zero when selected before landing. An emergency was declared followed by a high speed landing which ended safely.",
867087,201001,1801-2400,ZZZ.Airport,US,,,0,,,,,,Night,,,,Air Carrier,B757-200,,,Part 121,,,,Parked,,,,,Y,,Unscheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,Service/Access Door,Boeing,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Air Carrier,Technician,Maintenance Powerplant; Maintenance Airframe,,,Communication Breakdown; Confusion; Situational Awareness,,,867087,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR; Flight Deck / Cabin / Aircraft Event Other / Unknown,,,Person Maintenance,Aircraft In Service At Gate,General Flight Cancelled / Delayed; General Maintenance Action,Human Factors; Procedure,Human Factors,"When our B757-200 aircraft arrived  at the gate; here in ZZZ1 from ZZZ; there was a Cockpit Write-up stating that the Parking Brake handle was lose. While waiting for the Cleaners to finish in the First Class lavatory; preventing me from entering the Cockpit; I remained in the First Class Galley; waiting.  I then noticed that the Slide Armed light was illuminated on Door 1-Right.  Further Inspection reveled to me that the Door was indeed still Armed. I called the Captain; who was in the Cockpit and showed him the situation.  After the Captain witnessed the situation; I disarmed the door. Catering was approaching the aircraft.",,,,"A Line Mechanic waiting to access a B757-200 Cockpit for a loose Parking Brake handle Write-up; notices a Slide Armed light was illuminated on Door 1-Right; the Door was still armed. Mechanic showed Captain; then disarmed Door as Catering truck was approaching the aircraft.",
867382,201001,1201-1800,SDF.Airport,KY,,,0,,,VMC,,,Night,,,Tower SDF,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Type 8364,,Situational Awareness; Workload; Confusion,,,867382,,,,,,,,,,,,Deviation / Discrepancy - Procedural Clearance; Ground Incursion Taxiway,,,Person Flight Crew,Taxi,Flight Crew Became Reoriented,Airport; Human Factors,Airport,"Taxi to Runway 35R via Mike-Golf-Delta. Slight overshoot of Delta. Stopped aircraft and executed a 150 degree right turn and joined Delta. Continued taxi to Runway 35R. Ground Controller confirmed 'hold short of Runway 35R.' Remainder of flight uneventful. Lighting and markings of the Golf Delta/Runway 35R Intersection are inadequate. If we had not seen the aircraft on Runway 35R; I probably would have crossed the hold short line and experienced an incursion.",,,,"An air carrier crew on Taxiway D nearly missed transitioning to Taxiway G while taxiing to Runway 35R claiming the intersection is not clearly defined at night.",
867405,201001,1201-1800,ZZZ.Airport,US,,,,36000,,,,,Daylight,,,,Air Carrier,B757-200,,,Part 121,,Passenger,,Climb; Cruise; Descent; Final Approach; Initial Approach,,,Y,,Y,,Unscheduled Maintenance,Testing,,,,,,,,,,,,,,,,,,Air Conditioning Distribution System,Boeing,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 150; Flight Crew Total 14000; Flight Crew Type 1000,,Confusion; Communication Breakdown; Distraction; Situational Awareness; Fatigue,Party1 Flight Crew; Party2 ATC; Party2 Maintenance,,867405,,,,,,,,,,,,Aircraft Equipment Problem Critical; Flight Deck / Cabin / Aircraft Event Other / Unknown,,N,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; General Release Refused / Aircraft Not Accepted,Aircraft; Manuals; MEL; Equipment / Tooling; Company Policy,Aircraft,"This aircraft had previous write-ups regarding noise in cockpit. We once again wrote this up as unacceptable in flight. We briefed Maintenance at ZZZ that we flew entire trip with Right (Rh) Recirculation (Recirc) fan in the 'Off' position and noise level was at a dangerous level; missing numerous Radio calls. I write these reports knowing that our air carrier has no intention of fixing these problems. My purpose now is to attempt to convince the FAA Representative that unless something is done to correct this dangerous situation; it is only a matter of time before we have an accident; due to a mis-communication with ATC; during all phases of flight.Numerous Pilots have taken it upon themselves to purchase expensive headsets to remedy this problem. The next day I checked our computer's Maintenance history for the B757-200; only to find the Rh Recirc fan deferred; and the aircraft sent back out to the Line in the exact same condition we left it in ZZZ. This is unacceptable and in my opinion; dangerous. If assigned this aircraft in the future with nothing else done to correct this problem; I will refuse this aircraft as unsafe.","Reporter stated the airflow noise level gets so bad in flight that many times he and a majority of other B757 flight crew members will shut the right recirculation fan off in flight; including the left pack for the cockpit; to reduce the noise level so they can hear ATC communications. That seems to be the best combination. Many pilots have given up on making write-ups because their carrier has done very little to correct the problem.Reporter stated their own Engineering department acknowledges that flight deck airflow noise is a problem and has issued an Engineering Order to perform specific tests at the gate; but generally they just defer the right recirculation fan for being louder and later just sign-off the write-up as 'works OK'. Flight crews can't shut-off the left recirculation fan because that would also shut-off the equipment cooling fan in flight; which can only be reset on the ground. So they shut-off the left pack instead; which makes the cockpit much quieter; even though that is not a normal procedure.Reporter stated he knows that Federal OSHA has decibel level limits in the workplace; but questions if the FAA has maximum upper limit noise levels in the flight deck. Many crew members have expressed concern for potential hearing loss due to the excessive noise and have bought their own noise-canceling headsets. The noise level interference with ATC communications creates a dangerous environment and is fatiguing because pilots are always cringing to hear what ATC is saying. Reporter stated he knows of one carrier who has purchased noise canceling headsets for their crew members due to the excessive noise levels in the cockpit of that carrier's Boeing aircraft.",,,"A Captain reports about a continuing problem with excessive flight deck airflow noise levels in the B757-200 aircraft from the air conditioning system that interferes with ATC communications during all phases of flight.",
