c5	remark
20050101000019I	(-23) ON JANUARY 01, 2005, AT APPROXIMATELY 1215 PST, N44CE, SN 1125, A GA-IV-IV WAS ON A NORMAL APPROACH TO LAS RUNWAY 19R, AFTER TOUCHDOWN THE LEFT MAIN GEAR INBOARD OUTER RIM AND TIRE DETACHED FROM THE AIRCRAFT CAUSING MINOR DAMAGES TO THE RIGHT INBOARD WHEEL, AND SIGNIFICANT DAMAGES TO THE RIGHT GEAR BOX, AND FLAP ASSEMBLY.
20050101000199I	(-23) THE PILOT STATED THAT HE WAS CIRCLING THE AIRPORT TO SET UP AN APPROACH ON RUNWAY 26 WHEN THE CANOPY OPENED IN FLIGHT. HE THEN PROCEEDED THE FINAL APPROACH TO LAND WITHOUT ANY FURTHER INCIDENT. SUBMISSION OF THIS REPORT CLOSES THIS INCIDENT.
20050101000289A	(-23) DURING TAXI, AT 1400L HRS, FROM PERSONAL RESIDENCE, PILOT INCREASED ENGINE POWER TO TAXI AIRCRAFT THROUGH APPROXIMATELY 2 INCHES OF SNOW. WHEN AIRCRAFT ACCELERATED THE PILOT RETARDED THE THROTTLES, BUT THE AIRCRAFT ENGINE DID NOT REDUCE POWER AND THE AIRCRAFT CONTINUED TO ACCELERATE. THE PILOT STATED THAT HE PULLED THE THROTTLE TWO TIMES TRYING TO REDUCE THE ENGINE RPM, BUT HAD NO EFFECT. THE AIRCRAFT CONTINUED TO TAXI APPROXIMATELY 56 FEET UNTIL STOPPED HITTING TREES ACROSS THE TAXIWAY OPPOSITE THE PILOT'S RESIDENCE. SUBSTANTIAL DAMAGE WAS SUSTAINED TO THE FOLLOWING: LEFT WING TIP; RIGHT WING LEADING EDGE APPROXIMATELY 12 INCHES INTO THE WING STOPPING AT AND DAMAGING THE FORWARD WING SPAR; RIGHT WING AFT SPAR UPPER CAP IS BUCKLED AT THE CENTER SECTION RIGHT WING LOWER SIDE AT THE FORWARD WING TO FUSELAGE AREA BUCKLED; THE RIGHT SIDE AND BOTTOM OF THE FUSELAGE IS BUCKLED AND THE LONGERONS ARE DAMAGED; ENGINE FIREWALL BUCKLED. NO INJURIES TO THE PILOT OR PASSENGER SUSTAINED.
20050101000789I	(-23) BASED ON THE PILOT INTERVIEW, HE FLEW TO HENRY COUNTY AIRPORT TO PRACTICE TOUCH AND GO LANDINGS. HE HAD COMPLETED THREE LANDINGS AND WAS SETTING THE AIRCRAFT UP FOR A SHORT FIELD LANDING. WHILE CONFIGURING THE AIRCRAFT FOR THIS LANDING HE NEGLECTED TO LOWER THE LANDING GEAR AND MADE AN INADVERTENT GEAR UP LANDING. THE AIRCRAFT SLID STRAIGHT DOWN THE CENTERLINE OF THE RUNWAY AND CAME TO A FULL STOP WITHOUT ANY INJURIES. THE PILOT SHUT OFF ALL THE SWITCHES AND WALKED TO THE FBO (WHICH WAS CLOSED) AND CALLED 911.
20050101001019A	(-23) ON JANUARY 1, 2005, AT ABOUT 1400 ALASKA STANDARD TIME, A WHEEL EQUIPPED MAULE M-7 AIRPLANE, N4262D, RECEIVED SUBSTANTIAL DAMAGE DURING AN IN-FLIGHT COLLISION WITH POWER LINES, AND SUBSEQUENT COLLISION WITH THE GROUND, AT MILE 121 OF THE GLENN HIGHWAY.
20050101002119A	(-23) APPROXIMATELY 1110 LOCAL DENVER CENTER CLEARED CESSNA CE-551, N35403 FOR THE APPROACH TO THE AINSWORTH, NEBRASKA AIRPORT. THE REPORTED WEATHER AT THE TIME, WIND 060 DEGREES AT 3 KNOTS, VISIBILITY 1 1/4 SM IN MIST, OVERCAST AT 500 FEET, TEMPERATURE 8 DEGREES CELSIUS, AND DEW POINT 9 DEGREES CELSIUS. THE PILOT HAD KNOWN ABOUT THE DETERIORATING WEATHER CONDITIONS DURING HIS FLIGHT BUT DID NOT ADD AN ALTERNATE TO HIS FLIGHT PLAN. HE DID NOT GET UPDATED WEATHER PRIOR TO STARTING THE APPROACH. THE AIRCRAFT WAS NOT SET UP PROPERLY FOR AN APPROACH INTO ICING CONDITIONS; THE AIRCRAFT HAD AN ACCUMULATION OF RIME ICE 1/4 INCH THICH ON THE LEADING EDGES OF THE BOOTED SURFACES. THE PILOT WAS NOT PROFICIENT IN FLYING IN INSTRUMENT CONDITIONS.
20050101002889I	(-23) PILOT WAS DISTRACTED (SNEEZED) WHILE TAXIING AIRCRAFT AND MADE TURN TO CENTERLINE LATE AND HIT MARKING CONE.
20050101008719I	(-23) AIRCRAFT SLID OFF THE END OF RUNWAY 36 UNDER POOR BRAKING CONDITIONS. AREA OF TOUCHDOWN UNKNOWN.
20050101034179A	(-23) ON 01/01/05 THE PILOT ^PRIVACY DATA OMITTED^ THE HOLDER OF A COMMERCIAL PILOT CERTIFICATE WAS IN THE LOCAL TRAFFIC PATTERN AT POU FOR RUNWAY 6. UPON COMPLETION OF A TOUCH AND GO LANDING ON RUNWAY 6 THE AIRCRAFT EXPERIENCED A LOSS OF POWER. EMERGENCY LANDING ON AIRPORT. AIRCRAFT WAS SUBSTANTIALLY DAMAGED, HIT AIRPORT PERIMETER FENCE. INSPECTION OF AIRCRAFT FUEL SYSTEM REVEALED FUEL CONTAMINATION (WATER).
20050102000119I	(-23) AIRCRAFT WAS IN CRUISE FLIGHT AT FL 290 ON AN IFR FLIGHT FROM JOHNSON COUNTY, KANSAS CITY, MO (OJC) TO RHINELANDER, WI (RHI). THE PIC INITIATED A DESCENT USING THE AUTOPILOT. THE A/P IMMEDIATELY DISENGAGED AND THE AIRCRAFT PITCHED UP VIOLENTLY. WITH THE HELP OF A PASSENGER (RATED PILOT) THE PIC WAS ABLE TO MAINTAIN CONTROL OF THE AIRCRAFT. AN EMERGENCY WAS DECLARED AND THE AIRCRAFT DIVERTED TO WATERLOO, IA (ALO). THE AIRCRAFT DESCENDED TO 8000 FEET. WHILE DETERMINING CONTROLLABILITY IN THE LANDING CONFIGURATION, A TEMPERATURE INVERSION OCCURRED AND THE TRIM ACTUATOR BEGAN TO WORK. THE AIRCRAFT MADE AN UNEVENTFUL LANDING AT ALO. IT WAS DETERMINED THAT THE TRIM ACTUATOR HAD FROZEN DURING CLIMB OUT. A SERVICE BULLETIN CALLING FOR THE ACTUATOR TO BE LUBED AND THE BOOT COVERING THE ACTUATOR TO BE REINSTALLED WITH THE DRAIN HOLES FACING DOWN AT THE NEXT SCHEDULED INSPECTION. THE OWNER ELECTED TO COMPLY WITH THIS BULLETIN IMMEDIATELY. DURING THAT PROCEDURE IT WAS DETERMINED THAT THE BOOTS HAD BEEN INSTALLED FROM THE FACTORY INCORRECTLY. THE DRAIN HOLES WERE FACING UPWARD. THE AIRCRAFT HAD BEEN PARKED OVER NIGHT ON THE RAMP IN LIGHT RAIN AND DRIZZLE PRIOR TO THIS FLIGHT. TOTAL AIRFRAME HOURS = 255.
